nombre;descripcion;estrellas;ciudad;pais;lat;lon;chef;tipo_cocina_1
Il Gallo d'Oro;Here, French chef Benoît Sinthon showcases creative cuisine that focuses;2;Funchal;Portugal;32.6382988;-16.9266478;Benoît Sinthon;Modern Cuisine
A Cozinha;A pleasant surprise, both in terms of its discreet and;1;Guimaraes;Portugal;41.4429053;-8.2941256;António Loureiro;Modern Cuisine
A Ver Tavira;Located on a hill leading up to the Moorish castle;1;Tavira;Portugal;37.12565;-7.651429;Luís Brito;Modern Cuisine
Bon Bon;A unique restaurant with a hexagonal layout and a striking;1;Lagoa;Portugal;37.116478;-8.480948;;Modern Cuisine
CURA;An elegant and contemporary restaurant with an open-view kitchen;1;Lisbon;Portugal;38.7257479;-9.155379;Pedro Pena Bastos;Modern Cuisine
Esporão;Located on a farm-estate covering over 700ha with an;1;Reguengos de Monsaraz;Portugal;38.38073;-7.55312;Carlos Teixeira;Modern Cuisine
Feitoria;Chef João Rodrigues’ inspiration has always come from the sea;1;Lisbon;Portugal;38.6936647;-9.2129467;João Rodrigues;Modern Cuisine
Largo do Paço;Occupying an attractive aristocratic house with a classically elegant interior;1;Amarante;Portugal;41.26843;-8.07742;Tiago Bonito;Modern Cuisine
Loco;Located next to the Basílica da Estrela, Loco has just;1;Lisbon;Portugal;38.7123702;-9.1605213;Alexandre Silva;Modern Cuisine
Pedro Lemos;Occupying an impressively restored stone house close to the mouth;1;Porto;Portugal;41.1501698;-8.6721346;Pedro Lemos;Modern Cuisine
Vista;A fresh, contemporary restaurant with lots of natural light. The;1;Portimao;Portugal;37.125793;-8.53579;João Oliveira;Modern Cuisine
Vistas Rui Silvestre;Overlooking a superb golf course, chef Rui Silvestre surprises guests;1;Vila Nova de Cacela;Portugal;37.20864;-7.5494437;Rui Silvestre;Modern Cuisine
100 Maneiras;Discover the creativity and personality of Bosnian chef Ljubomir Stanisic;1;Lisbon;Portugal;38.714841;-9.1449507;Ljubomir Stanisic;Creative
Al Sud;Part of the Clubhouse at the Palmares resort, Al Sud;1;Lagos;Portugal;37.1318946;-8.6426777;Louis Anjos;Creative
Alma;Located in the heart of the Chiado district in an;2;Lisbon;Portugal;38.7101662;-9.1411358;Henrique Sá Pessoa;Creative
Antiqvvm;Antiqvvm enjoys a unique location in a park in the;1;Porto;Portugal;41.14776;-8.62831;Vitor Matos;Creative
Belcanto;Occupying a former convent in the Bairro Alto (Chiado) district;2;Lisbon;Portugal;38.7104102;-9.1415741;José Avillez;Creative
EPUR;Haute cuisine and superb views in a restaurant occupying a;1;Lisbon;Portugal;38.7087383;-9.1398799;Vincent Farges;Creative
Eleven;Housed in a designer style building above the Amália Rodrigues;1;Lisbon;Portugal;38.7308206;-9.1556702;Joachim Koerper;Creative
Fifty Seconds;Enjoy a gastronomic experience 120m above ground in this panoramic;1;Lisbon;Portugal;38.7747556;-9.0911606;Filipe Carvalho;Creative
Lab by Sergi Arola;A unique, authentic and intimate restaurant with a difference, where;1;Sintra;Portugal;38.762978;-9.397945;Sergi Arola;Creative
Mesa de Lemos;A superb restaurant in an idyllic vineyard setting, occupying a;1;Passos de Silgueiros;Portugal;40.577633;-7.98049;Diogo Rocha;Creative
Ocean;A unique restaurant where the superb sea views are complemented;2;Porches;Portugal;37.1008268;-8.3792041;Hans Neuner;Creative
The Yeatman;This stylish restaurant has a bright decor combining the classical;2;Vila Nova de Gaia;Portugal;41.1336845;-8.6133869;Ricardo Costa;Creative
Vila Joya;A gastronomic paradise by the sea! Here, the buzzword is;2;Albufeira;Portugal;37.08059;-8.31367;Koschina Dieter;Creative
Casa de Chá da Boa Nova;Enjoy a truly marvellous culinary experience in this restaurant occupying;2;Leça da Palmeira;Portugal;41.2027411;-8.7147233;Rui Paula Cardoso;Seafood
Eneko Lisboa;A highly original restaurant with an impromptu industrial ambience, occupying;1;Lisbon;Portugal;38.70368;-9.17645;Lucas Bernardes;Basque
Fortaleza do Guincho;This magnificent restaurant boasts a small but elegant lounge area;1;Praia do Guincho;Portugal;38.7282977;-9.4759076;Gil Fernandes;Portuguese
G Pousada;The best option for getting to know the contemporary cuisine;1;Bragança;Portugal;41.8026186;-6.7541046;Oscar Martins Gomes Gonçalves;Regional Cuisine
Gusto;A particularly interesting restaurant overseen by award - winning chef Heinz;1;Almancil;Portugal;37.0633302;-8.0301921;Liborio Buonocore;Mediterranean Cuisine
Midori;An exclusive restaurant with a contemporary decor which is considered;1;Sintra;Portugal;38.7616883;-9.3962995;Pedro Almeida;Japanese
Vila Foz;Occupying the luxurious main hall of the Vila Foz hotel;1;Porto;Portugal;41.1617684;-8.6850196;Arnaldo Azevedo;Contemporary
William;A unique restaurant both in terms of its classic elegance;1;Funchal;Portugal;32.64069;-16.92367;Luís Pestana;Classic Cuisine
