nombre;descripcion;estrellas;ciudad;pais;lat;lon;chef;tipo_cocina_1
Frantzén;A truly immersive experience that you won't forget in;3;Stockholm;Sweden;59.3341785;18.0597905;Björn FRANTZEN;Modern Cuisine
bhoga;The knowledgeable team here know both the menu and the;1;Gothenburg;Sweden;57.7062968;11.9621856;Gustav Knutsson;Creative
Vollmers;This intimate restaurant is set in a 19C townhouse on;2;Malmo;Sweden;55.6046461;12.9966201;Andreas Hansen;Creative
PM & Vänner;Their philosophy is based on ‘forest, lake and meadow’ and;1;Växjö;Sweden;56.8789279;14.8043573;Anders Lauring;Creative
Oaxen Krog;A secret door in Oaxen Slip leads into this oak;2;Stockholm;Sweden;59.3225114;18.1017477;Magnus Ek;Creative
Gastrologik;Working exclusively with Swedish produce has allowed the two chef;2;Stockholm;Sweden;59.3336953;18.0808749;Anton Bjuhr;Creative
Etoile;After travelling the world, two friends opened this restaurant to;1;Stockholm;Sweden;59.3495123;18.0437729;Jonas Lagerström;Creative
Aloë;Two talented chefs run this warm, welcoming restaurant, which is;2;Stockholm;Sweden;59.2843177;17.9857179;Niclas Jönsson;Creative
Sushi Sho;With its white tiled walls and compact counter seating, the;1;Stockholm;Sweden;59.3411916;18.0498009;Carl Ishizaki;Japanese
ÄNG;Three siblings – third generation dairy farmers – have created a delightful;1;Tvååker;Sweden;57.0649323;12.5594919;Filip Gemzell;Modern Cuisine
Project;This cosy restaurant is personally run by a husband and;1;Gothenburg;Sweden;57.6979745;11.9825147;Cameron Irving;Modern Cuisine
Koka;An understatedly elegant wood-panelled room with bespoke furnishings that;1;Gothenburg;Sweden;57.6986003;11.9654719;Johan Björkman;Modern Cuisine
Hotell Borgholm;The team at this historic hotel’s restaurant provide a;1;Borgholm;Sweden;56.8788038;16.6575365;Christofer Johansson;Modern Cuisine
Ekstedt;It’s all about fire at this cosy, pared-back;1;Stockholm;Sweden;59.3367688;18.0747963;Niklas Ekstedt;Modern Cuisine
Aira;In a delightful harbour setting sits this striking restaurant offering;1;Stockholm;Sweden;59.3207081;18.123759;Tommy Myllymäki;Modern Cuisine
Agrikultur;The open kitchen, with its aga and wood-burning oven;1;Stockholm;Sweden;59.3493655;18.0569193;Filip Fastén;Modern Cuisine
28+;This atmospheric, passionately run basement restaurant has been a Gothenburg;1;Gothenburg;Sweden;57.6981746;11.9738899;Markus Pettersson;Modern Cuisine
SK Mat & Människor;Not only can you watch the chefs at work here;1;Gothenburg;Sweden;57.6969448;11.9833222;Stefan Karlsson;Modern Cuisine
Operakällaren;Sweden's most opulent restaurant sits within the historic Opera;1;Stockholm;Sweden;59.3298189;18.0713226;;Classic Cuisine
